geojson_name,best_partial_match,partial_score
1000297254 ONTARIO INCORPORATED,WICA ONTARIO INCORPORATED (1001225525),78.26086956521739
1000297441 ONTARIO LTD,ONTARIO ELITE (1001278493),70.83333333333333
1000328814 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000329638 ONTARIO LTD,ONTARIO ELITE (1001278493),70.83333333333333
1000333429 ONTARIO INC,TCSO INC (1000373398),69.76744186046511
1000337874 ONTARIO INC,TAGO INC. (1000318707),68.18181818181819
1000341951 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000343511 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000344636 ONTARIO LIMITED,LIPEDEMA ONTARIO (1000846932),72.72727272727273
1000352706 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000354953 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000357085 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1000374160 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000376283 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000387741 ONTARIO LTD,LIPEDEMA ONTARIO (1000846932),66.66666666666667
1000393282 ONTARIO LIMITED,LIPEDEMA ONTARIO (1000846932),72.72727272727273
1000397055 ONTARIO LIMITED,DELIJE ONTARIO (1001394764),67.9245283018868
1000402766 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.23076923076923
1000407777 ONTARIO INC,MICROBOARDS ONTARIO (1000964177),66.66666666666667
1000409236 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000435039 ONTARIO LTD,CCGA ONTARIO (1000144352),68.08510638297872
1000438075 ONTARIO INC,TAGO INC. (1000318707),72.72727272727273
1000445119 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000446086 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000454724 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000472634 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000475150 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1000476873 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000490238 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000507594 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1000512097 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000516997 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000522782 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000524982 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000526883 ONTARIO INC,ONTARIO RV OWNERS INC. (1000928803),70.17543859649122
1000532752 ONTARIO LTD,CCGA ONTARIO (1000144352),68.08510638297872
100054424 ONTARIO INC,CCGA ONTARIO (1000144352),73.91304347826086
1000547342 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000547580 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000550646 ONTARIO INC,DLHC ONTARIO INC. (1000721296),65.38461538461539
1000572626 ONTARIO INC,DLHC ONTARIO INC. (1000721296),76.92307692307692
1000574588 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000589420 ONTARIO INC,NWAR INC. (1000845251),68.18181818181819
1000592665 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000592727 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000606732 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000610144 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000613622 ONTARIO LTD,LIPEDEMA ONTARIO (1000846932),70.58823529411764
1000616040 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000619485 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000637361 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000645839 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000645840 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000654624 ONTARIO CORPORATION,LHAMO GONPO CORPORATION (1001096642),72.72727272727273
1000669541 ONTARIO INC,MICROBOARDS ONTARIO (1000964177),66.66666666666667
1000678704 ONTARIO INC,TAGO INC. (1000318707),68.18181818181819
1000682913 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000685374 ONTARIO INC,DLHC ONTARIO INC. (1000721296),65.38461538461539
1000685389 ONTARIO INC,PET FRIENDLY ONTARIO (1000896595),65.45454545454545
1000692072 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000693398 ONTARIO INC,TCSO INC (1000373398),69.76744186046511
1000696950 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000697340 ONTARIO INC,LIPEDEMA ONTARIO (1000846932),66.66666666666667
1000697416 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000724448 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000725607 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000725870 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1000730517 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1000732718 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000762246 ONTARIO INC.,DLHC ONTARIO INC. (1000721296),79.24528301886792
1000767954 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000772428 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000778792 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000786376 ONTARIO LTD,ONTARIO ELITE (1001278493),70.83333333333333
1000788968 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000794348 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000798594 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000829689 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000830945 ONTARIO INC,NWAR INC. (1000845251),68.18181818181819
1000831560 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000833452 ONTARIO INCORPORATED,WICA ONTARIO INCORPORATED (1001225525),75.36231884057972
1000863073 ONTARIO INC,TAGO INC. (1000318707),68.18181818181819
1000865888 ONTARIO LTD,LIPEDEMA ONTARIO (1000846932),66.66666666666667
1000871519 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000878657 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000882302 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000883335 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000893044 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000894681 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000895704 ONTARIO INC,ORION HRT INC. (1000895980),69.38775510204081
1000906981 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000908803 ONTARIO INC,ONTARIO RV OWNERS INC. (1000928803),73.6842105263158
1000918377 ONTARIO INC,TAGO INC. (1000318707),72.72727272727273
1000921147 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000925790 ONTARIO INC,ORION HRT INC. (1000895980),69.38775510204081
1000932874 ONTARIO INC,KW SENTRO INC. (1000635287),69.38775510204081
1000939079 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000939624 ONTARIO INC,DELIJE ONTARIO (1001394764),69.38775510204081
1000947521 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000962072 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000962957 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000966027 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000974944 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000977119 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1001002983 ONTARIO INC,KIZONTO INC. (1001090893),72.34042553191489
1001003688 ONTARIO INC,MUSICONTARIO (1001138808),72.34042553191489
1001008035 ONTARIO INC,KIZONTO INC. (1001090893),72.34042553191489
1001010377 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1001013734 ONTARIO INC,DELIJE ONTARIO (1001394764),69.38775510204081
1001032798 ONTARIO INC,ONTARIO ELITE (1001278493),70.83333333333333
1001050272 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1001060143 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1001063128 ONTARIO INC,KW SENTRO INC. (1000635287),69.38775510204081
1001064114 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1001067930 ONTARIO INC,ONTARIO ELITE (1001278493),70.83333333333333
