BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
119189025RR0001	ST MARY'S GENERAL HOSPITAL	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0100	911 QUEEN'S BLVD 	KITCHENER	ON	CA	N2M1B2
119188969RR0001	ST. MARY COPTIC ORTHODOX CHURCH, KITCHENER, ONTARIO	Registered	Charity	1979-01-01		0001	Advancement of Religion	0030	388 OTTAWA ST S 	KITCHENER	ON	CA	N2M3P4
119122950RR0001	ROMANIAN ORTHODOX PARISH ST. JOHN THE BAPTIST	Registered	Charity	1969-01-01		0001	Advancement of Religion	0030	PO BOX 34029 RPO FIELDGATE 	KITCHENER	ON	CA	N2N0C1
119122927RR0001	Kitchener Romanian Pentecostal Church	Registered	Charity	1986-01-01		0001	Advancement of Religion	0030	160 GRAND RIVER BLVD 	KITCHENER	ON	CA	N2A3G6
119122091RR0001	ROCKWAY MENNONITE COLLEGIATE INC.	Registered	Charity	1971-04-23		0001	Advancement of Education	0010	110 DOON ROAD 	KITCHENER	ON	CA	N2G3C8
119110450RR0136	The Eritrean Catholic Community Of The Ge'ez Rite	Registered	Charity	2017-05-08		0001	Advancement of Religion	0030	148 MADISON AVE S 	KITCHENER	ON	CA	N2G3M6
119110450RR0130	St. Paul Chung Parish	Registered	Charity	2009-11-02		0001	Advancement of Religion	0030	516 FRANKLIN ST N 	KITCHENER	ON	CA	N2A1Z4
119110450RR0128	OUR LADY OF GUADALUPE PARISH, KITCHENER	Registered	Charity	2002-08-14		0001	Advancement of Religion	0030	85 STRANGE ST 	KITCHENER	ON	CA	N2G1R4
119110450RR0089	ST. MARY'S PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	56 DUKE ST W 	KITCHENER	ON	CA	N2H3W7
119110450RR0087	ST. JOSEPH'S PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	148 MADISON AVE S 	KITCHENER	ON	CA	N2G3M6
119110450RR0086	ST. ANTHONY DANIEL CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	29 MIDLAND DR 	KITCHENER	ON	CA	N2A2A9
122641368RR0001	BRAHMARISHI MISSION OF CANADA INC.	Registered	Charity	1978-12-29		0001	Advancement of Religion	0030	525 BRIDGE ST E 	KITCHENER	ON	CA	N2K3C5
122153398RR0001	OPEN DOOR EVANGELISTIC CHURCH INC	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	35 CHARLES ST E 	KITCHENER	ON	CA	N2G2P3
119293876RR0001	WESTHEIGHTS BRETHREN IN CHRIST COMMUNITY CHURCH	Registered	Charity	1979-01-28		0001	Advancement of Religion	0030	82 WESTHEIGHTS DR 	KITCHENER	ON	CA	N2N2A8
119289254RR0001	WATERLOO REGION COMMUNITY LEGAL SERVICES	Registered	Charity	1983-07-18		0001	Other purposes beneficial to the community	0160	101-450 FREDERICK ST 	KITCHENER	ON	CA	N2H2P5
119289064RR0001	WATERLOO HISTORICAL SOCIETY	Registered	Charity	1969-01-01		0001	Other purposes beneficial to the community	0200	85 QUEEN STREET N 	KITCHENER	ON	CA	N2H2H1
119280535RR0001	THE GENERAL ASSEMBLY OF THE CHURCH OF GOD IN EASTERN CANADA	Registered	Charity	1990-08-30		0001	Advancement of Religion	0030	164 EIGHTH AVE 	KITCHENER	ON	CA	N2C1S4
119273126RR0001	TWIN CITIES' KIWANIS FOUNDATION	Registered	Charity	1976-10-01		0001	Other purposes beneficial to the community	0160	226 INGLESIDE PL 	KITCHENER	ON	CA	N2M2H2
119241255RR0001	The K-W Foundation for Lutheran Education	Registered	Charity	1984-04-29		0002	Advancement of Education	0010	137 QUEEN ST S 	KITCHENER	ON	CA	N2G1W2
132410671RR0223	SOCIETY OF ST VINCENT DE PAUL, ST ANTHONY DANIEL CONFERENCE,KITCHENER	Registered	Charity	1989-01-01		0001	Relief of Poverty	0001	29 MIDLAND DRIVE 	KITCHENER	ON	CA	N2A2A9
131214561RR0001	TWIN CITIES KIWANIS FAMILY HOUSING FOUNDATION	Registered	Charity	1985-04-09		0001	Relief of Poverty	0001	226 INGLESIDE PL 	KITCHENER	ON	CA	N2M2H2
130929607RR0001	K-W WORKING CENTRE FOR THE UNEMPLOYED	Registered	Charity	1982-11-18		0001	Relief of Poverty	0001	58 QUEEN ST S 	KITCHENER	ON	CA	N2G1V6
130746993RR0001	BRASSROOTS	Registered	Charity	1989-05-16		0001	Other purposes beneficial to the community	0190	7 KILBIRNIE CRT 	KITCHENER	ON	CA	N2R1B7
130399801RR0001	Thresholds Homes and Supports Inc.	Registered	Charity	1981-04-01		0001	Other purposes beneficial to the community	0100	2A - 236 VICTORIA ST N 	KITCHENER	ON	CA	N2H5C8
130318405RR0003	ST GEORGES OF FOREST HILL	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	321 FISCHER-HALLMAN DR 	KITCHENER	ON	CA	N2M4X9
129795514RR0001	Sexual Health Options, Resources & Education Centre	Registered	Charity	1972-04-11		0001	Relief of Poverty	0001	130 - 235 KING ST E 	KITCHENER	ON	CA	N2G4N5
129645032RR0001	VOLUNTEER ACTION CENTRE WATERLOO REGION	Registered	Charity	1985-01-01		0001	Other purposes beneficial to the community	0160	3-1454 KING ST E 	KITCHENER	ON	CA	N2G2N7
129202842RR0002	Family And Children's Services of The Waterloo Region	Registered	Charity	1967-01-01		0001	Relief of Poverty	0001	200 ARDELT AVE 	KITCHENER	ON	CA	N2C2L9
127519718RR0001	HIGHLAND STIRLING COMMUNITY GROUP	Registered	Charity	1995-04-01		0001	Other purposes beneficial to the community	0160	216 MILL ST 	KITCHENER	ON	CA	N2M3R2
132410671RR0171	SOCIETY OF ST VINCENT DE PAUL, ST FRANCIS OF ASSISI CONFERENCE KITCHENER	Registered	Charity	1989-01-16		0001	Relief of Poverty	0001	49 BLUERIDGE AVENUE 	KITCHENER	ON	CA	N2M4E2
132410671RR0092	SOCIETY OF ST VINCENT DE PAUL, ST JOSEPH'S CONFERENCE, KITCHNER ONTARIO	Registered	Charity	1989-01-01		0001	Relief of Poverty	0001	148 MADISON AVE SOUTH 	KITCHENER	ON	CA	N2G3M6
132410671RR0014	SOCIETY OF ST VINCENT DE PAUL, ST ANNE'S CONFERENCE	Registered	Charity	1993-01-01		0001	Relief of Poverty	0001	268 EAST AVE 	KITCHENER	ON	CA	N2H1Z4
727975823RR0001	Victoria Tagalog Congregation of Jehovah's Witnesses, Kitchener, Ontario	Registered	Charity	2025-02-01		0001	Advancement of Religion	0030	105 - 6 BRYBECK CRES 	KITCHENER	ON	CA	N2M2C6
789624756RR0001	Kaitlyn Roth Memorial Foundation	Registered	Charity	2025-08-01		0003	Other purposes beneficial to the community	0210	13 HAWKSWOOD DR 	KITCHENER	ON	CA	N2K4J6
758332548RR0001	Second Stage Dance	Registered	Charity	2025-06-26		0001	Relief of Poverty	0001	39 - 1989 OTTAWA ST S 	KITCHENER	ON	CA	N2E0G7
743836942RR0001	Potcake Pals Rescue	Registered	Charity	2025-05-11		0001	Other purposes beneficial to the community	0180	90 FAIRVIEW AVE 	KITCHENER	ON	CA	N2H3G1
745706150RR0001	Beach Relief	Registered	Charity	2024-05-29		0003	Other purposes beneficial to the community	0170	50 PERKELL PL 	KITCHENER	ON	CA	N2B1J4
775644552RR0001	The Glorious Church Canada	Registered	Charity	2024-05-22		0003	Advancement of Religion	0030	157 IAN ORMSTON DRIVE 	KITCHENER	ON	CA	N2P0K3
797418225RR0001	Padma Refuge Foundation	Registered	Charity	2024-11-06		0001	Advancement of Religion	0060	41 LANG CRES 	KITCHENER	ON	CA	N2K1P2
119110450RR0076	OUR LADY OF FATIMA PARISH	Registered	Charity	1988-04-15		0001	Advancement of Religion	0030	300 SIMEON ST 	KITCHENER	ON	CA	N2H1T5
119110450RR0071	HOLY FAMILY ROMAN CATHOLIC PARISH	Registered	Charity	1978-01-01		0001	Advancement of Religion	0030	180 SCHWEITZER ST 	KITCHENER	ON	CA	N2K2R5
119110450RR0053	ST. TERESAS PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	44 LEONARD ST 	KITCHENER	ON	CA	N2H6C8
119110450RR0049	ST. ALOYSIUS PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	11 TRAYNOR AVE 	KITCHENER	ON	CA	N2C1W1
119110450RR0001	PARISH OF BLESSED SACRAMENT	Registered	Charity	1977-10-01		0001	Advancement of Religion	0030	305 LAURENTIAN DR 	KITCHENER	ON	CA	N2E2N6
119038487RR0001	CANADIAN MENNONITE PUBLISHING SERVICE	Registered	Charity	1971-12-06		0001	Advancement of Religion	0070	202 - 50 KENT AVE 	KITCHENER	ON	CA	N2G3R1
119038263RR0001	MENNONITE CENTRAL COMMITTEE ONTARIO	Registered	Charity	1967-01-01		0001	Relief of Poverty	0001	50 KENT AVENUE 	KITCHENER	ON	CA	N2G3R1
118987643RR0001	KITCHENER-WATERLOO YOUNG WOMEN'S CHRISTIAN ASSOCIATION	Registered	Charity	1967-01-01		0001	Advancement of Religion	0070	153 FREDERICK ST 	KITCHENER	ON	CA	N2H2M2
118987569RR0001	K-W KINSMEN CHARITABLE FOUNDATION	Registered	Charity	1980-10-08		0002	Other purposes beneficial to the community	0210	99 OTTAWA STREET SOUTH 	KITCHENER	ON	CA	N2G3S8
118983550RR0001	THE HUMANE SOCIETY OF KITCHENER WATERLOO & STRATFORD PERTH	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0180	250 RIVERBEND DR 	KITCHENER	ON	CA	N2B2E9
118974617RR0001	J.M. DRAMA ALUMNI	Registered	Charity	1985-07-23		0001	Other purposes beneficial to the community	0190	122 FREDERICK STREET 	KITCHENER	ON	CA	N2H2L9
118966290RR0001	IGLESIA EVANGELICA LA PAZ DE CRISTO	Registered	Charity	1987-10-22		0001	Advancement of Religion	0030	485 CHARLES STREET EAST 	KITCHENER	ON	CA	N2G2R1
118962174RR0001	HOMER WATSON HOUSE FOUNDATION	Registered	Charity	1983-01-01		0001	Other purposes beneficial to the community	0200	1754 OLD MILL RD 	KITCHENER	ON	CA	N2P1H7
118987619RR0001	K-W SERTOMA CLUB CHARITABLE TRUST	Registered	Charity	1984-11-01		0001	Relief of Poverty	0001	238 CLAREMONT AVE 	KITCHENER	ON	CA	N2M2R1
744516345RR0001	14628772 Canada Association	Registered	Charity	2024-09-09		0001	Relief of Poverty	0001	1668 KING ST E 	KITCHENER	ON	CA	N2G2P1
776360810RR0001	Divine Light World	Registered	Charity	2024-01-01		0001	Advancement of Religion	0060	427 MOORLANDS CRES 	KITCHENER	ON	CA	N2P0C9
786552356RR0001	EI Cure Project Canada	Registered	Charity	2025-01-23		0003	Other purposes beneficial to the community	0110	234 SPRINGMOUNT PL 	KITCHENER	ON	CA	N2A3V5
714000940RR0001	The Redeemed Christian Church of God - Dominion Chapel Waterloo	Registered	Charity	2024-01-01		0001	Advancement of Religion	0030	63 CHANTILLY ST 	KITCHENER	ON	CA	N2R1V3
788854958RR0001	Hearts Healing Humanity	Registered	Charity	2024-05-02		0001	Relief of Poverty	0001	LC3 - 188 MARGARET AVE 	KITCHENER	ON	CA	N2H4J3
731928305RR0001	Flaming Sword Ministries International Canada (FSMI)	Registered	Charity	2023-08-01		0001	Advancement of Religion	0070	57 SWARTZ ST 	KITCHENER	ON	CA	N2E4A6
711525345RR0001	The STEMite Zone Fair	Registered	Charity	2024-01-10		0001	Advancement of Education	0011	1 - 445 EAST AVE 	KITCHENER	ON	CA	N2H1Z7
716510342RR0001	Sai Mandir	Registered	Charity	2023-06-19		0001	Advancement of Religion	0060	110 EDEN OAK TRAIL 	KITCHENER	ON	CA	N2A0G1
702505900RR0001	Church 519	Registered	Charity	2023-04-21		0001	Advancement of Religion	0030	32 WEBER ST W 	KITCHENER	ON	CA	N2H3Z2
810227199RR0001	Afro African Family Revival Organization	Registered	Charity	2024-01-22		0001	Other purposes beneficial to the community	0160	4 - 737 BELMONT AVE W 	KITCHENER	ON	CA	N2M1P3
708296009RR0001	Grand River Islamic Center	Registered	Charity	2023-01-24		0001	Advancement of Religion	0040	6 RICHWOOD CRT 	KITCHENER	ON	CA	N2P2A8
734109606RR0001	Grand River Christian School Inc.	Registered	Charity	2023-07-01		0001	Advancement of Education	0010	160 GRAND RIVER BLVD 	KITCHENER	ON	CA	N2A3G6
746046341RR0001	Jesus Reigns Ministries Waterloo Region	Registered	Charity	2023-08-03		0001	Advancement of Religion	0030	13 - 400 WILSON AVE 	KITCHENER	ON	CA	N2C2S1
813730843RR0002	The Redeemed Christian Church of God - Restoration House, Waterloo	Registered	Charity	2023-02-14		0001	Advancement of Religion	0030	32 WEBER ST W 	KITCHENER	ON	CA	N2H3Z2
768917544RR0002	Anchored On Christ Ministries International	Registered	Charity	2023-03-09		0001	Advancement of Religion	0030	214 - 900 GUELPH ST 	KITCHENER	ON	CA	N2H5Z6
782531149RR0001	Jain Society of Waterloo Region Inc.	Registered	Charity	2022-10-27		0001	Advancement of Religion	0060	1441 OLD ZELLER DR 	KITCHENER	ON	CA	N2A4M8
728464405RR0001	The Way of Heaven Church Canada	Registered	Charity	2022-08-09		0001	Advancement of Religion	0030	804 - 812 KING ST W 	KITCHENER	ON	CA	N2G1E9
716272703RR0001	RBJ Schlegel Family Foundation	Registered	Charity	2022-07-29		0003	Other purposes beneficial to the community	0210	325 MAX BECKER DRIVE 201	KITCHENER	ON	CA	N2E4H5
727962706RR0001	Alliance for CancerCare Equity	Registered	Charity	2023-02-13		0001	Other purposes beneficial to the community	0100	226 DAVID ELSEY STREET 	KITCHENER	ON	CA	N2A4L5
738461201RR0001	The Shoebox Workshop Waterloo Region	Registered	Charity	2023-01-01		0002	Other purposes beneficial to the community	0210	924 WOODBINE CRT 	KITCHENER	ON	CA	N2R1X4
784763302RR0001	A Better Tent City Waterloo Region	Registered	Charity	2022-01-21		0001	Relief of Poverty	0001	56 DUKE ST W 	KITCHENER	ON	CA	N2H3W7
792359705RR0001	FaithTech Canada	Registered	Charity	2022-10-18		0001	Advancement of Religion	0070	134 MOOREGATE CRESCENT 	KITCHENER	ON	CA	N2M2G1
718834096RR0001	Rohingya Centre	Registered	Charity	2023-04-25		0001	Relief of Poverty	0001	226 - 283 DUKE ST WEST 	KITCHENER	ON	CA	N2H5C2
768056665RR0001	Smart Serve Foundation	Registered	Charity	2021-11-04		0002	Other purposes beneficial to the community	0210	539 RIVERBEND DR 	KITCHENER	ON	CA	N2K3S3
765566542RR0001	Fierce N Fit Special Needs Charitable Organization	Registered	Charity	2021-11-25		0001	Other purposes beneficial to the community	0110	237 CLARK AVE 	KITCHENER	ON	CA	N2C1Y1
756415873RR0001	Rock City Church Kitchener	Registered	Charity	2021-09-10		0001	Advancement of Religion	0030	16 LITTLEFIELD CRES 	KITCHENER	ON	CA	N2E2M5
768013864RR0001	Mahima Prasansha Nepali Church	Registered	Charity	2021-08-10		0003	Advancement of Religion	0030	301 - 551 VANIER DR 	KITCHENER	ON	CA	N2C2J3
767711666RR0001	Forward Faith Church	Registered	Charity	2021-08-10		0001	Advancement of Religion	0030	17 DUNLOP PL 	KITCHENER	ON	CA	N2P1J3
784788341RR0001	Glimpse of Hope International Foundation	Registered	Charity	2022-07-25		0001	Relief of Poverty	0001	19 - 55 MOOREGATE CRES 	KITCHENER	ON	CA	N2M0A6
107797383RR0149	Waterloo Region Fil-Can Seventh-day Adventist Church	Registered	Charity	2021-01-01		0001	Advancement of Religion	0030	56 ROSS AVE 	KITCHENER	ON	CA	N2A1V3
728837337RR0001	Togetherness Collective	Registered	Charity	2021-09-17		0001	Advancement of Religion	0030	549 BRITTANIA CRES 	KITCHENER	ON	CA	N2R0B1
861228849RR0001	BUSINESS AND EDUCATION PARTNERSHIP OF WATERLOO REGION	Registered	Charity	2002-12-03		0001	Advancement of Education	0011	74B QUEEN ST N 	KITCHENER	ON	CA	N2H2H3
860799568RR0001	THE 78TH FRASER HIGHLANDERS - FORT CONESTOGA	Registered	Charity	2006-05-18		0001	Other purposes beneficial to the community	0200	22-500 FAIRWAY RD. S SUITE 199	KITCHENER	ON	CA	N2L1Y3
860350792RR0001	Freshwater Christian House	Registered	Charity	2007-04-13		0001	Advancement of Religion	0030	74 ROCHEFORT ST 	KITCHENER	ON	CA	N2R1V7
860326669RR0001	SAINT MARY ERITREAN ORTHODOX AGAZIAN CHURCH	Registered	Charity	2005-01-31		0001	Advancement of Religion	0030	214 HIGHLAND RD E 	KITCHENER	ON	CA	N2M3W2
857085211RR0001	International Gospel Missionary Church	Registered	Charity	2015-12-31		0001	Advancement of Religion	0030	17 DUNLOP PL 	KITCHENER	ON	CA	N2P1J3
855875282RR0001	SOLID GROUND BIBLE STUDY MINISTRIES	Registered	Charity	1991-03-13		0001	Advancement of Religion	0070	15 OTTAWA STREET NORTH 	KITCHENER	ON	CA	N2H3K2
855833778RR0001	COUNTRY HILLS CHURCH	Registered	Charity	1984-04-26		0001	Advancement of Religion	0030	1280 OTTAWA ST S 	KITCHENER	ON	CA	N2E1M1
852411446RR0001	ABRAZOS CANADA	Registered	Charity	2012-11-08		0001	Other purposes beneficial to the community	0110	807-75 YORK STREET 	KITCHENER	ON	CA	N2G1T5
848315966RR0001	INTER ARTS MATRIX	Registered	Charity	2007-06-06		0001	Advancement of Education	0012	28 - 141 WHITNEY PL 	KITCHENER	ON	CA	N2G2X8
847927852RR0001	Our World Festival of Music Inc.	Registered	Charity	2009-08-06		0001	Other purposes beneficial to the community	0190	177 LYDIA STREET 	KITCHENER	ON	CA	N2H1V9
847423902RR0001	Pillar of Fire Churches International	Registered	Charity	2011-09-08		0001	Advancement of Religion	0030	30 APPALACHIAN CR. 	KITCHENER	ON	CA	N2E1A4
845086743RR0001	CAFKA - Contemporary Art Forum Kitchener and Area	Registered	Charity	2010-05-08		0001	Advancement of Education	0012	141 WHITNEY PL 	KITCHENER	ON	CA	N2G2X8
844925347RR0001	MISSIONARY CHURCH HISTORICAL TRUST	Registered	Charity	2005-03-30		0001	Other purposes beneficial to the community	0200	340 GUELPH ST 	KITCHENER	ON	CA	N2H5X3
844090779RR0001	Pope Cyril VI Coptic Orthodox Church	Registered	Charity	2014-01-01		0001	Advancement of Religion	0030	388 OTTAWA STREET SOUTH, 	KITCHENER	ON	CA	N2M3P4
844027326RR0001	CAMBRIDGE SCULPTURE GARDEN	Registered	Charity	2006-08-14		0001	Other purposes beneficial to the community	0200	18 PINE HILL PLACE 	KITCHENER	ON	CA	N2P2P6
843794512RR0001	THE CHRISTIAN LINK	Registered	Charity	2011-01-01		0001	Advancement of Religion	0070	95 INGLESIDE DRIVE 	KITCHENER	ON	CA	N2M2G9
842144883RR0001	The Hummingbird Centre for Hope	Registered	Charity	2012-01-01		0001	Relief of Poverty	0001	65 HANSON AVE 	KITCHENER	ON	CA	N2C2H6
841142672RR0001	Coptic Orthadox Patriarchate Saint Maurice Coptic Orthodox Church	Registered	Charity	2014-01-01		0001	Advancement of Religion	0030	388 OTTAWA STREET SOUTH 	KITCHENER	ON	CA	N2M3P4
838729630RR0001	Spiritus Ensemble Inc.	Registered	Charity	2014-08-19		0001	Advancement of Education	0012	308 GLASGOW ST 	KITCHENER	ON	CA	N2M2M8
838399723RR0001	IMMANUEL PENTECOSTAL CHURCH OF KITCHENER	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	100 HOFFMAN ST 	KITCHENER	ON	CA	N2M3N1
834218976RR0001	EBENEZER COMMUNITY CHURCH	Registered	Charity	2013-11-27		0001	Advancement of Religion	0070	316 WELLINGTON ST N 	KITCHENER	ON	CA	N2H5K9
833455579RR0001	Discipleship Christian Secondary School	Registered	Charity	2014-02-04		0001	Advancement of Education	0010	71 WEDGEWOOD DRIVE 	KITCHENER	ON	CA	N2B1E6
832076228RR0001	Kitchener Chin Baptist Church	Registered	Charity	2008-10-08		0001	Advancement of Religion	0030	570 STIRLING AVE SOUTH 	KITCHENER	ON	CA	N2M3J7
831171723RR0001	WATERLOO REGION SUICIDE PREVENTION COUNCIL	Registered	Charity	2006-12-14		0001	Other purposes beneficial to the community	0160	165 KING ST E 	KITCHENER	ON	CA	N2G2K8
830771127RR0001	Charitus	Registered	Charity	2007-04-12		0002	Advancement of Religion	0090	74 WEBER STREET WEST 	KITCHENER	ON	CA	N2H3Z3
830289294RR0001	Camp Micah: Leadership for Peace and Justice	Registered	Charity	2009-01-23		0001	Advancement of Religion	0070	688 ROCKWAY DRIVE 	KITCHENER	ON	CA	N2G3B4
851620351RR0001	Artsbuild Ontario Charitable Organization	Registered	Charity	2009-02-06		0002	Other purposes beneficial to the community	0190	44 GAUKEL ST 	KITCHENER	ON	CA	N2G4P3
851256453RR0001	Waterloo Mathematics Charitable Trust Foundation	Registered	Charity	2009-08-07		0002	Advancement of Education	0015	76 BIRCHCLIFF AVE 	KITCHENER	ON	CA	N2M4V6
850960576RR0001	SPECTRUM Waterloo Region's Rainbow Community Space	Registered	Charity	2017-08-01		0001	Relief of Poverty	0001	210 - 283 DUKE ST W 	KITCHENER	ON	CA	N2H3X7
859559940RR0001	Resolute Church	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	35 FALL HARVEST DR 	KITCHENER	ON	CA	N2P2M2
820345734RR0001	Mukti Volunteer Village	Registered	Charity	2014-03-18		0001	Advancement of Education	0010	205 - 500 FAIRWAY RD S 	KITCHENER	ON	CA	N2C1X3
778033480RR0001	UNA CHURCH	Registered	Charity	2010-01-01		0001	Advancement of Religion	0030	14 PEACHWOOD AVE 	KITCHENER	ON	CA	N2B1S9
861229979RR0001	TRI-CITY CENTRE FOR MULTICULTURAL DEVELOPMENT	Registered	Charity	2005-10-17		0001	Other purposes beneficial to the community	0200	533 WEBER STREET EAST 	KITCHENER	ON	CA	N2H1G6
118987601RR0001	KITCHENER-WATERLOO MULTICULTURAL CENTRE INC.	Registered	Charity	1975-01-01		0001	Other purposes beneficial to the community	0190	401 - 715 FISCHER HALLMAN RD 	KITCHENER	ON	CA	N2E4E9
749057022RR0001	Humanity Bridge Foundation	Registered	Charity	2025-05-21		0003	Advancement of Education	0011	36 SABRINA CRES 	KITCHENER	ON	CA	N2P1Y6
886763283RR0001	IGLESIA BAUTISTA HISPANA	Registered	Charity	1987-12-20		0001	Advancement of Religion	0030	56 ROSS AVE 	KITCHENER	ON	CA	N2A1V3
108050899RR0001	Sunbeam Community & Developmental Services	Registered	Charity	1967-01-01		0001	Relief of Poverty	0001	2749 KINGSWAY DR 	KITCHENER	ON	CA	N2C1A7
729128942RR0001	Kitchener Tamil Church	Registered	Charity	2023-07-19		0001	Advancement of Religion	0030	1 - 54 GREEN VALLEY DR 	KITCHENER	ON	CA	N2P1Z9
106966799RR0001	THE CONESTOGA COLLEGE INSTITUTE OF TECHNOLOGY AND ADVANCED LEARNING	Registered	Charity	2001-04-01		0001	Advancement of Education	0015	299 DOON VALLEY DR. 	KITCHENER	ON	CA	N2G4M4
849179742RR0001	SENVILLE FOUNDATION INC.	Registered	Charity	2004-11-30		0002	Other purposes beneficial to the community	0210	483 OTTAWA ST S 	KITCHENER	ON	CA	N2M5H1
862801214RR0001	PROJECT HELPING ORPHANS FOR THE PURPOSE OF ETERNITY	Registered	Charity	2001-10-25		0001	Other purposes beneficial to the community	0120	675 QUEEN ST SOUTH UNIT 208	KITCHENER	ON	CA	N2M1A1
865592760RR0001	SEEDS OF PROMISE SUPPORT SERVICES FOR WOMEN INTERNATIONAL	Registered	Charity	2000-03-10		0001	Relief of Poverty	0001	30 APPALACHIAN CR 	KITCHENER	ON	CA	N2E1A4
118952423RR0001	World Life Centre	Registered	Charity	1990-06-08		0001	Advancement of Religion	0030	27 WYCLIFFE PL 	KITCHENER	ON	CA	N2M5J6
794473892RR0001	Toronto Nepalese Christian Fellowship (TNCF)	Registered	Charity	2015-10-30		0001	Advancement of Religion	0030	548 BRISBANE CRT 	KITCHENER	ON	CA	N2C2T5
119026193RR0001	LUTHERAN LAYMEN'S LEAGUE OF CANADA	Registered	Charity	1967-01-01		0001	Advancement of Religion	0070	270 LAWRENCE AVENUE 	KITCHENER	ON	CA	N2M1Y4
118983220RR0001	KITCHENER BAPTIST CHURCH	Registered	Charity	1984-11-21		0001	Advancement of Religion	0030	1720 GLASGOW STREET 	KITCHENER	ON	CA	N2N0A7
119110450RR0008	SACRED HEART CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	66 SHANLEY ST 	KITCHENER	ON	CA	N2H5N9
108004300RR0003	ST. ANDREW'S MEMORIAL ANGLICAN CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	275 MILL ST 	KITCHENER	ON	CA	N2M3R4
892496928RR0001	PATHWAY COMMUNITY BRETHREN IN CHRIST CHURCH	Registered	Charity	1999-08-01		0001	Advancement of Religion	0030	725 ERINBROOK DR 	KITCHENER	ON	CA	N2E3E3
118987551RR0001	K-W FELLOWSHIP CHRISTIAN SCHOOL	Registered	Charity	1987-10-15		0001	Advancement of Education	0010	1780 GLASGOW STREET 	KITCHENER	ON	CA	N2N0A7
765348495RR0001	True Jesus Church in Kitchener-Waterloo	Registered	Charity	2016-07-20		0001	Advancement of Religion	0030	72 DOON CREEK ST 	KITCHENER	ON	CA	N2R0B6
832547509RR0001	House of Prayer for All Nations	Registered	Charity	2012-07-10		0003	Advancement of Religion	0070	38 SHEA CRES 	KITCHENER	ON	CA	N2E1E8
813366606RR0001	Bethel Ethiopian Evangelical Church	Registered	Charity	2011-04-27		0001	Advancement of Religion	0030	310-525 HIGHLAND ROAD WEST 	KITCHENER	ON	CA	N2M5P4
829661180RR0001	Lite the Nite Ministries	Registered	Charity	2016-01-01		0001	Relief of Poverty	0001	30 APPALACHIAN CRES 	KITCHENER	ON	CA	N2E1A4
119233310RR0001	THE FOOD BANK OF WATERLOO REGION	Registered	Charity	1985-01-01		0001	Other purposes beneficial to the community	0210	50 ALPINE CRT 	KITCHENER	ON	CA	N2E2M7
119262103RR0001	Waterloo Region District School Board	Registered	Charity	1967-01-01		0001	Advancement of Education	0011	51 ARDELT AVE 	KITCHENER	ON	CA	N2C2R5
823371547RR0001	Christian Arabic Church of Kitchener	Registered	Charity	2009-03-30		0001	Advancement of Religion	0030	77 CROSBY DRIVE 	KITCHENER	ON	CA	N2B2L1
119165116RR0001	ST. ANDREW'S PRESBYTERIAN CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	54 QUEEN ST N 	KITCHENER	ON	CA	N2H2H2
878792142RR0001	Sts. Peter & Paul Romanian Orthodox Church	Registered	Charity	2010-01-01		0001	Advancement of Religion	0030	184 MADISON AVENUE 	KITCHENER	ON	CA	N2G3M8
132879438RR0001	MARTIN LUTHER EVANGELICAL CHURCH, INC.	Registered	Charity	1986-01-01		0001	Advancement of Religion	0030	53 CHURCH ST. 	KITCHENER	ON	CA	N2G2S1
132410671RR0111	SOCIETY OF ST VINCENT DE PAUL, ST MARK'S CONFERENCE	Registered	Charity	1993-01-01		0001	Relief of Poverty	0001	55 DRIFTWOOD DRIVE 	KITCHENER	ON	CA	N2N3A2
888674462RR0001	CROSSWAYS TO LIFE	Registered	Charity	1995-04-21		0001	Advancement of Religion	0070	725 ERINBROOK DR 	KITCHENER	ON	CA	N2E3E3
712917558RR0001	The Good Table	Registered	Charity	2024-10-29		0001	Advancement of Religion	0030	230 PROSPERITY DR 	KITCHENER	ON	CA	N2E4B1
815852348RR0001	Waterloo Region Green Solutions	Registered	Charity	2009-01-01		0001	Other purposes beneficial to the community	0170	20 MILL STREET 	KITCHENER	ON	CA	N2G2Y3
